"","TP.Date","TP.Flow","TP.concentrations.TP","lnC","lnQ"
"212",2014-02-13,309,0.02,-3.91202300542815,5.73334127689775
"213",2014-02-20,301,0.02,-3.91202300542815,5.70711026474888
"214",2014-02-26,259,0.022,-3.81671282562382,5.55682806169954
"215",2014-03-06,303,0.028,-3.57555076880693,5.71373280550937
"216",2014-03-13,426,0.04,-3.2188758248682,6.05443934626937
"217",2014-03-17,5500,0.422,-0.862749964946125,8.61250337122056
"218",2014-03-28,600,0.062,-2.78062089393705,6.39692965521615
"219",2014-03-29,1260,0.088,-2.43041846450393,7.13886699994552
"220",2014-04-03,636,0.063,-2.7646205525906,6.45519856334012
"221",2014-04-04,1320,0.128,-2.05572501506252,7.18538701558042
"222",2014-04-08,1420,0.13,-2.04022082852655,7.25841215059531
"223",2014-04-15,671,0.056,-2.88240358824699,6.50876913697168
"224",2014-04-24,402,0.036,-3.32423634052603,5.99645208861902
"225",2014-04-29,379,0.046,-3.07911388249304,5.93753620508243
"226",2014-05-09,979,0.112,-2.18925640768704,6.88653164253051
"227",2014-05-13,1330,0.146,-1.9241486572738,7.1929342212158
"228",2014-05-15,1040,0.102,-2.28278246569787,6.94697599213542
"229",2014-05-21,400,0.078,-2.55104645229255,5.99146454710798
"230",2014-05-29,306,0.084,-2.47693848013882,5.72358510195238
"231",2014-06-03,513,0.096,-2.3434070875143,6.24027584517077
"232",2014-06-16,435,0.082,-2.50103603171788,6.07534603108868
"233",2014-07-02,290,0.086,-2.45340798272863,5.66988092298052
"234",2014-07-07,200,0.08,-2.52572864430826,5.29831736654804
"235",2014-07-22,154,0.072,-2.63108915996608,5.03695260241363
"236",2014-07-31,235,0.088,-2.43041846450393,5.45958551414416
"237",2014-08-06,154,0.084,-2.47693848013882,5.03695260241363
"238",2014-08-13,213,0.092,-2.3859667019331,5.36129216570943
"239",2014-08-21,160,0.074,-2.60369018577797,5.07517381523383
"240",2014-08-28,128,0.076,-2.57702193869581,4.85203026391962
"241",2014-09-03,594,0.114,-2.17155683058764,6.38687931936265
"242",2014-09-11,167,0.09,-2.40794560865187,5.11799381241676
"243",2014-09-18,290,0.086,-2.45340798272863,5.66988092298052
"244",2014-09-24,175,0.084,-2.47693848013882,5.16478597392351
"245",2014-10-01,142,0.075,-2.59026716544583,4.95582705760126
"246",2014-10-09,149,0.076,-2.57702193869581,5.00394630594546
"247",2014-10-11,2630,0.956,-0.0449973659307358,7.87473912517181
"248",2014-10-13,2450,0.714,-0.336872316642553,7.80384330353877
"249",2014-10-23,329,0.086,-2.45340798272863,5.79605775076537
"250",2014-10-29,244,0.076,-2.57702193869581,5.4971682252932
"251",2014-11-06,446,0.076,-2.57702193869581,6.10031895202006
