id,folds,span,const
7,27,0.85,NO3
8,27,0.85,NO3
9,27,0.85,NO3
10,27,0.85,NO3
11,27,0.9,NO3
12,27,0.9,NO3
13,27,0.85,NO3
14,27,0.85,NO3
15,27,0.9,NO3
16,27,0.9,NO3
17,27,0.9,NO3
18,27,0.85,NO3
19,27,0.9,NO3
20,27,0.9,NO3
21,27,0.9,NO3
22,27,0.9,NO3
23,27,0.8,NO3
24,27,0.85,NO3
25,27,0.9,NO3
26,27,0.85,NO3
27,27,0.85,NO3
28,27,0.8,NO3
29,27,0.85,NO3
30,27,0.9,NO3
31,27,0.85,NO3
32,27,0.9,NO3
33,27,0.9,NO3
34,27,0.9,NO3
35,27,0.85,NO3
36,27,0.85,NO3
37,27,0.85,NO3
38,27,0.8,NO3
39,27,0.9,NO3
40,27,0.9,NO3
41,27,0.9,NO3
42,27,0.9,NO3
43,27,0.9,NO3
44,27,0.9,NO3
45,27,0.8,NO3
46,27,0.6,NO3
47,27,0.9,NO3
48,27,0.9,NO3
49,27,0.85,NO3
50,27,0.8,NO3
1,28,0.9,NO3
2,28,0.6,NO3
3,28,0.85,NO3
4,28,0.85,NO3
5,28,0.9,NO3
6,28,0.9,NO3
7,28,0.7,NO3
8,28,0.85,NO3
9,28,0.9,NO3
10,28,0.9,NO3
11,28,0.9,NO3
12,28,0.8,NO3
